trade_date,phi
2021-01-28,0.9393
2021-01-29,0.9698
2021-02-01,0.9753
2021-02-02,0.9381
2021-02-03,0.9242
2021-02-04,0.9212
2021-02-05,0.9516
2021-02-07,0.9513
2021-02-08,0.9345
2021-02-09,0.9364
2021-02-10,0.9171
2021-02-18,0.8938
2021-02-19,0.9212
2021-02-20,0.9188
2021-02-22,0.9057
2021-02-23,0.9059
2021-02-24,0.907
2021-02-25,0.8973
2021-02-26,0.8963
2021-03-01,0.92
2021-03-02,0.9204
2021-03-03,0.9127
2021-03-04,0.9083
2021-03-05,0.9003
2021-03-08,0.9172
2021-03-09,0.8998
2021-03-10,0.8988
2021-03-11,0.8841
2021-03-12,0.8756
2021-03-15,0.8613
2021-03-16,0.8694
2021-03-17,0.881
2021-03-18,0.8715
2021-03-19,0.8826
2021-03-22,0.8882
2021-03-23,0.9086
2021-03-24,0.9162
2021-03-25,0.9213
2021-03-26,0.9159
2021-03-29,0.9133
2021-03-30,0.9045
2021-03-31,0.9107
2021-04-01,0.9035
2021-04-02,0.8882
2021-04-06,0.8822
2021-04-07,0.8719
2021-04-08,0.8663
2021-04-09,0.866
2021-04-12,0.8834
2021-04-13,0.9103
2021-04-14,0.9078
2021-04-15,0.9102
2021-04-16,0.9195
2021-04-19,0.9221
2021-04-20,0.9176
2021-04-21,0.9101
2021-04-22,0.8917
2021-04-23,0.8809
2021-04-25,0.8617
2021-04-26,0.8472
2021-04-27,0.8618
2021-04-28,0.8699
2021-04-29,0.8828
2021-04-30,0.8932
2021-05-06,0.8966
2021-05-07,0.8899
2021-05-08,0.8906
2021-05-10,0.9095
2021-05-11,0.9173
2021-05-12,0.9143
2021-05-13,0.9036
2021-05-14,0.8909
2021-05-17,0.8897
2021-05-18,0.9041
2021-05-19,0.921
2021-05-20,0.9406
2021-05-21,0.9383
2021-05-24,0.9347
2021-05-25,0.937
2021-05-26,0.9651
2021-05-27,0.9586
2021-05-28,0.9469
2021-05-31,0.9919
2021-06-01,0.9969
2021-06-02,0.9697
2021-06-03,0.9814
2021-06-04,0.944
2021-06-07,0.9417
2021-06-08,0.9418
2021-06-09,0.9558
2021-06-10,0.9702
2021-06-11,0.9538
2021-06-15,0.9588
2021-06-16,0.944
2021-06-17,0.9267
2021-06-18,0.9487
2021-06-21,0.9636
2021-06-22,0.9773
2021-06-23,0.9697
2021-06-24,0.971
2021-06-25,0.9631
2021-06-28,0.938
2021-06-29,0.933
2021-06-30,0.9314
2021-07-01,0.916
2021-07-02,0.9241
2021-07-05,0.9024
2021-07-06,0.8824
2021-07-07,0.9052
2021-07-08,0.9363
2021-07-09,0.9101
2021-07-12,0.9649
2021-07-13,0.9661
2021-07-14,0.9209
2021-07-15,0.8781
2021-07-16,0.8696
2021-07-19,0.8502
2021-07-20,0.8746
2021-07-21,0.8604
2021-07-22,0.842
2021-07-23,0.8584
2021-07-26,0.8974
2021-07-27,0.8395
2021-07-28,0.8195
2021-07-29,0.8593
2021-07-30,0.8895
2021-08-02,0.8821
2021-08-03,0.8531
2021-08-04,0.8628
2021-08-05,0.9036
2021-08-06,0.8782
2021-08-09,0.8438
2021-08-10,0.8589
2021-08-11,0.857
2021-08-12,0.8847
2021-08-13,0.8724
2021-08-16,0.8748
2021-08-17,0.8858
2021-08-18,0.8918
2021-08-19,0.8979
2021-08-20,0.8798
2021-08-23,0.8701
2021-08-24,0.8849
2021-08-25,0.8759
2021-08-26,0.8696
2021-08-27,0.8987
2021-08-30,0.9216
2021-08-31,0.9324
2021-09-01,0.9549
2021-09-02,0.9503
2021-09-03,0.9389
2021-09-06,0.9312
2021-09-07,0.9124
2021-09-08,0.9009
2021-09-09,0.8984
2021-09-10,0.9116
2021-09-13,0.8865
2021-09-14,0.8968
2021-09-15,0.8818
2021-09-16,0.8937
2021-09-17,0.9101
2021-09-18,0.9125
2021-09-22,0.9337
2021-09-23,0.9397
2021-09-24,0.9339
2021-09-26,0.9282
2021-09-27,0.9365
2021-09-28,0.9364
2021-09-29,0.9701
2021-09-30,0.9615
2021-10-08,0.9262
2021-10-09,0.9092
2021-10-11,0.8903
2021-10-12,0.905
2021-10-13,0.9285
2021-10-14,0.9092
2021-10-15,0.914
2021-10-18,0.8584
2021-10-19,0.8944
2021-10-20,0.9333
2021-10-21,0.9481
2021-10-22,0.9076
2021-10-25,0.9142
2021-10-26,0.9192
2021-10-27,0.9053
2021-10-28,0.8996
2021-10-29,0.8697
2021-11-01,0.8897
2021-11-02,0.8875
2021-11-03,0.8608
2021-11-04,0.854
2021-11-05,0.8686
2021-11-08,0.8496
2021-11-09,0.8634
2021-11-10,0.8484
2021-11-11,0.841
2021-11-12,0.8368
2021-11-15,0.8449
2021-11-16,0.8576
2021-11-17,0.8498
2021-11-18,0.8542
2021-11-19,0.8286
2021-11-22,0.8766
2021-11-23,0.8718
2021-11-24,0.8965
2021-11-25,0.9002
2021-11-26,0.9275
2021-11-29,0.9352
2021-11-30,0.9336
2021-12-01,0.9085
2021-12-02,0.8868
2021-12-03,0.8769
2021-12-06,0.907
2021-12-07,0.8632
2021-12-08,0.8583
2021-12-09,0.8546
2021-12-10,0.8671
2021-12-13,0.8641
2021-12-14,0.8767
2021-12-15,0.8715
2021-12-16,0.8641
2021-12-17,0.8694
2021-12-20,0.8653
2021-12-21,0.8743
2021-12-22,0.8974
2021-12-23,0.9154
2021-12-24,0.894
2021-12-27,0.8965
2021-12-28,0.9039
2021-12-29,0.8898
2021-12-30,0.9013
2021-12-31,0.8864
2022-01-04,0.8763
2022-01-05,0.8592
2022-01-06,0.8423
2022-01-07,0.8467
2022-01-10,0.8572
2022-01-11,0.8528
2022-01-12,0.8433
2022-01-13,0.8578
2022-01-14,0.8556
2022-01-17,0.8482
2022-01-18,0.8827
2022-01-19,0.85
2022-01-20,0.8515
2022-01-21,0.8703
2022-01-24,0.9104
2022-01-25,0.8861
2022-01-26,0.8736
2022-01-27,0.9079
2022-01-28,0.9306
2022-01-29,0.9214
2022-01-30,0.9094
2022-02-07,0.8856
2022-02-08,0.8915
2022-02-09,0.8789
2022-02-10,0.8841
2022-02-11,0.8828
2022-02-14,0.8761
2022-02-15,0.9009
2022-02-16,0.9085
2022-02-17,0.9277
2022-02-18,0.9105
2022-02-21,0.8882
2022-02-22,0.9085
2022-02-23,0.9561
2022-02-24,0.9668
2022-02-25,0.9693
2022-02-28,0.9737
2022-03-01,0.9467
2022-03-02,0.9235
2022-03-03,0.9419
2022-03-04,0.9774
2022-03-07,0.9935
2022-03-08,0.9672
2022-03-09,0.9609
2022-03-10,0.9533
2022-03-11,1.0126
2022-03-14,1.0031
2022-03-15,0.9606
2022-03-16,0.998
2022-03-17,1.0083
2022-03-18,0.9793
2022-03-21,0.9704
2022-03-22,0.9632
2022-03-23,0.9661
2022-03-24,0.9952
2022-03-25,1.0043
2022-03-28,1.0184
2022-03-29,1.0235
2022-03-30,1.0385
2022-03-31,1.0096
2022-04-01,1.0171
2022-04-02,1.01
2022-04-06,1.0152
2022-04-07,1.0362
2022-04-08,0.996
2022-04-11,0.9778
2022-04-12,0.98
2022-04-13,0.9923
2022-04-14,0.9605
2022-04-15,0.9669
2022-04-18,0.9202
2022-04-19,0.9124
2022-04-20,0.9102
2022-04-21,0.9225
2022-04-22,0.9128
2022-04-24,0.9281
2022-04-25,0.9398
2022-04-26,0.9315
2022-04-27,0.9068
2022-04-28,0.8993
2022-04-29,0.9122
2022-05-05,0.9234
2022-05-06,0.9171
2022-05-07,0.9157
2022-05-09,0.9195
2022-05-10,0.9135
2022-05-11,0.894
2022-05-12,0.8974
2022-05-13,0.8685
2022-05-16,0.861
2022-05-17,0.8647
2022-05-18,0.8768
2022-05-19,0.8626
2022-05-20,0.8324
2022-05-23,0.8321
2022-05-24,0.8438
2022-05-25,0.847
2022-05-26,0.8771
2022-05-27,0.8774
2022-05-30,0.8625
2022-05-31,0.8424
2022-06-01,0.8424
2022-06-02,0.8374
2022-06-06,0.8399
2022-06-07,0.8441
2022-06-08,0.8333
2022-06-09,0.8294
2022-06-10,0.815
2022-06-13,0.8184
2022-06-14,0.8024
2022-06-15,0.7851
2022-06-16,0.785
2022-06-17,0.7917
2022-06-20,0.7816
2022-06-21,0.7759
2022-06-22,0.7757
2022-06-23,0.7757
2022-06-24,0.7658
2022-06-27,0.744
2022-06-28,0.7456
2022-06-29,0.7662
2022-06-30,0.7792
2022-07-01,0.775
2022-07-04,0.776
2022-07-05,0.7858
2022-07-06,0.7836
2022-07-07,0.7836
2022-07-08,0.7785
2022-07-11,0.7903
2022-07-12,0.8082
2022-07-13,0.8137
2022-07-14,0.8336
2022-07-15,0.8406
2022-07-18,0.8417
2022-07-19,0.8431
2022-07-20,0.8586
2022-07-21,0.8725
2022-07-22,0.841
2022-07-25,0.8466
2022-07-26,0.8505
2022-07-27,0.8488
2022-07-28,0.835
2022-07-29,0.864
2022-08-01,0.8624
2022-08-02,0.8603
2022-08-03,0.8602
2022-08-04,0.8278
2022-08-05,0.8235
2022-08-08,0.8177
2022-08-09,0.839
2022-08-10,0.843
2022-08-11,0.8483
